asof_date,rooms
2024-08-09,10191
2024-08-10,10195
2024-08-11,10020
2024-08-12,9950
2024-08-13,9973
2024-08-14,10030
2024-08-15,9943
2024-08-16,9966
2024-08-17,9892
2024-08-18,9844
2024-08-19,9741
2024-08-20,9791
2024-08-21,9737
2024-08-22,9759
2024-08-23,9756
2024-08-24,9694
2024-08-25,9578
2024-08-26,9445
2024-08-27,9352
2024-08-28,9337
2024-08-29,9305
2024-08-30,9253
2024-08-31,9245
2024-09-01,9174
2024-09-02,9111
2024-09-03,9046
2024-09-04,9128
2024-09-05,9269
2024-09-06,9319
2024-09-07,9306
2024-09-08,9260
2024-09-09,9224
2024-09-10,9249
2024-09-11,9216
2024-09-12,9169
2024-09-13,9182
2024-09-14,9268
2024-09-15,9205
2024-09-16,9155
2024-09-17,9213
2024-09-18,9321
2024-09-19,9371
2024-09-20,9339
2024-09-21,9345
2024-09-22,9342
2024-09-23,9342
2024-09-24,9496
2024-09-25,9667
2024-09-26,9761
2024-09-27,9856
2024-09-28,9834
2024-09-29,9795
2024-09-30,9757
2024-10-01,9793
2024-10-02,9787
2024-10-03,9783
2024-10-04,9886
2024-10-05,9904
2024-10-06,9881
2024-10-07,9835
2024-10-08,9954
2024-10-09,9963
2024-10-10,9988
2024-10-11,9915
2024-10-12,9898
2024-10-13,9817
2024-10-14,9772
2024-10-15,9853
2024-10-16,10167
2024-10-17,10186
2024-10-18,10239
2024-10-19,10224
2024-10-20,10108
2024-10-21,9999
2024-10-22,10135
2024-10-23,10101
2024-10-24,10084
2024-10-25,10050
2024-10-26,10030
2024-10-27,9945
2024-10-28,9852
2024-10-29,9863
2024-10-30,9844
2024-10-31,9853
2024-11-01,9847
2024-11-02,9807
2024-11-03,9751
2024-11-04,9722
2024-11-05,9790
2024-11-06,9775
2024-11-07,9745
2024-11-08,9719
2024-11-09,9681
2024-11-10,9610
2024-11-11,9482
2024-11-12,9512
2024-11-13,9552
2024-11-14,9574
2024-11-15,9520
2024-11-16,9500
2024-11-17,9454
2024-11-18,9398
2024-11-19,9624
2024-11-20,9700
2024-11-21,9670
2024-11-22,9718
2024-11-23,9706
2024-11-24,9634
2024-11-25,9565
2024-11-26,9733
2024-11-27,9814
2024-11-28,9895
2024-11-29,9853
2024-11-30,9918
2024-12-01,9902
2024-12-02,9908
2024-12-03,10016
2024-12-04,10110
2024-12-05,10127
2024-12-06,10173
2024-12-07,10139
2024-12-08,9982
2024-12-09,9795
2024-12-10,9682
2024-12-11,9565
2024-12-12,9487
2024-12-13,9378
2024-12-14,9266
2024-12-15,9108
2024-12-16,8926
2024-12-17,9060
2024-12-18,9032
2024-12-19,9059
2024-12-20,9105
2024-12-21,9118
2024-12-22,8969
2024-12-23,8805
2024-12-24,8717
2024-12-25,8681
2024-12-26,8593
2024-12-27,8570
2024-12-28,8523
2024-12-29,8431
2024-12-30,8327
2024-12-31,8242
2025-01-01,8114
2025-01-02,8000
2025-01-03,8073
2025-01-04,8113
2025-01-05,8043
2025-01-06,8028
2025-01-07,8122
2025-01-08,8231
2025-01-09,8389
2025-01-10,8542
2025-01-11,8568
2025-01-12,8509
2025-01-13,8446
2025-01-14,8513
2025-01-15,8544
2025-01-16,8660
2025-01-17,8854
2025-01-18,8911
2025-01-19,8905
2025-01-20,8845
2025-01-21,8855
2025-01-22,8819
2025-01-23,8875
2025-01-24,8949
2025-01-25,9061
2025-01-26,9047
2025-01-27,9021
2025-01-28,9214
2025-01-29,9297
2025-01-30,9244
2025-01-31,9268
2025-02-01,9313
2025-02-02,9220
2025-02-03,9196
2025-02-04,9730
2025-02-05,9748
2025-02-06,9769
2025-02-07,9836
2025-02-08,10069
2025-02-09,10031
2025-02-10,9961
2025-02-11,10048
2025-02-12,10020
2025-02-13,10065
2025-02-14,10119
2025-02-15,10162
2025-02-16,10111
2025-02-17,10007
2025-02-18,9950
2025-02-19,10013
2025-02-20,10046
2025-02-21,9998
2025-02-22,10075
2025-02-23,9966
2025-02-24,9928
2025-02-25,9951
2025-02-26,9709
2025-02-27,9778
2025-02-28,9739
2025-03-01,9608
2025-03-02,9557
2025-03-03,9502
2025-03-04,9673
2025-03-05,9619
2025-03-06,9671
2025-03-07,9628
2025-03-08,9425
2025-03-09,9409
2025-03-10,9382
2025-03-11,9437
2025-03-12,9430
2025-03-13,9460
2025-03-14,9415
2025-03-15,9372
2025-03-16,9338
2025-03-17,9320
2025-03-18,9294
2025-03-19,9236
2025-03-20,9263
2025-03-21,9387
2025-03-22,9392
2025-03-23,9382
2025-03-24,9312
2025-03-25,9510
2025-03-26,9507
2025-03-27,9606
2025-03-28,9614
2025-03-29,9622
2025-03-30,9567
2025-03-31,9486
2025-04-01,9650
2025-04-02,9661
2025-04-03,9644
2025-04-04,9629
2025-04-05,9615
2025-04-06,9569
2025-04-07,9531
2025-04-08,9459
2025-04-09,9477
2025-04-10,9554
2025-04-11,9485
2025-04-12,9421
2025-04-13,9379
2025-04-14,9265
2025-04-15,9243
2025-04-16,9274
2025-04-17,9342
2025-04-18,9255
2025-04-19,9202
2025-04-20,9124
2025-04-21,9045
2025-04-22,9036
2025-04-23,9026
2025-04-24,8946
2025-04-25,8977
2025-04-26,8890
2025-04-27,8771
2025-04-28,8668
2025-04-29,8651
2025-04-30,8646
2025-05-01,8582
2025-05-02,8580
2025-05-03,8684
2025-05-04,8638
2025-05-05,8644
2025-05-06,8727
2025-05-07,8766
2025-05-08,8823
2025-05-09,8915
2025-05-10,8920
2025-05-11,8856
2025-05-12,8812
2025-05-13,8888
2025-05-14,8931
2025-05-15,8871
2025-05-16,9050
2025-05-17,8910
2025-05-18,8865
2025-05-19,8789
2025-05-20,8751
2025-05-21,9325
2025-05-22,9358
2025-05-23,9658
2025-05-24,9559
2025-05-25,9515
2025-05-26,9458
2025-05-27,9447
2025-05-28,9592
2025-05-29,9690
2025-05-30,9795
2025-05-31,9645
2025-06-01,9611
2025-06-02,9576
2025-06-03,9714
2025-06-04,9659
2025-06-05,9914
2025-06-06,9930
2025-06-07,9870
2025-06-08,9778
2025-06-09,9684
2025-06-10,9737
2025-06-11,9905
2025-06-12,10030
2025-06-13,9987
2025-06-14,10001
2025-06-15,9936
2025-06-16,9846
2025-06-17,9843
2025-06-18,9848
2025-06-19,9864
2025-06-20,9817
2025-06-21,9730
2025-06-22,9571
2025-06-23,9468
2025-06-24,9507
2025-06-25,9487
2025-06-26,9459
2025-06-27,9473
2025-06-28,9416
2025-06-29,9369
2025-06-30,9252
2025-07-01,9274
2025-07-02,9376
2025-07-03,9421
2025-07-04,9396
2025-07-05,9398
2025-07-06,9368
2025-07-07,9364
2025-07-08,9443
2025-07-09,9590
2025-07-10,9641
2025-07-11,9617
2025-07-12,9579
2025-07-13,9528
2025-07-14,9518
2025-07-15,9650
2025-07-16,9759
2025-07-17,9800
2025-07-18,9810
2025-07-19,9889
2025-07-20,9816
2025-07-21,9799
2025-07-22,9813
2025-07-23,9914
2025-07-24,9996
2025-07-25,9980
2025-07-26,9949
2025-07-27,9830
2025-07-28,9759
2025-07-29,9789
2025-07-30,9806
2025-07-31,9849
2025-08-01,9842
2025-08-02,9785
2025-08-03,9732
2025-08-04,9636
2025-08-05,9670
2025-08-06,9672
2025-08-07,9680
2025-08-08,9779
2025-08-09,9755
2025-08-10,9673
2025-08-11,9590
2025-08-12,9511
2025-08-13,9525
2025-08-14,9532
2025-08-15,9500
2025-08-16,9519
2025-08-17,9494
2025-08-18,9437
2025-08-19,9508
2025-08-20,9467
2025-08-21,9511
2025-08-22,9440
2025-08-23,9470
2025-08-24,9337
2025-08-25,9283
2025-08-26,9221
2025-08-27,9226
2025-08-28,9205
2025-08-29,9204
2025-08-30,9175
2025-08-31,9068
2025-09-01,8950
2025-09-02,8967
2025-09-03,9070
2025-09-04,9170
2025-09-05,9134
2025-09-06,9378
2025-09-07,9367
2025-09-08,9397
2025-09-09,9587
2025-09-10,9663
2025-09-11,9681
2025-09-12,9688
2025-09-13,9706
2025-09-14,9737
2025-09-15,9670
2025-09-16,9697
2025-09-17,9882
2025-09-18,9958
2025-09-19,10012
2025-09-20,10070
2025-09-21,10024
2025-09-22,9994
2025-09-23,10092
2025-09-24,10143
2025-09-25,10177
2025-09-26,10184
2025-09-27,10132
2025-09-28,10052
2025-09-29,10044
2025-09-30,10003
2025-10-01,10211
2025-10-02,10117
2025-10-03,10014
2025-10-04,9894
2025-10-05,9807
2025-10-06,9698
2025-10-07,9866
2025-10-08,9861
2025-10-09,9803
2025-10-10,9766
2025-10-11,9785
2025-10-12,9670
